StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
5000,18,0,1,2,20,5,0,1,1,1,1,1,3.74,3.0
5001,16,1,1,1,10,10,0,2,1,1,1,1,2.87,4.0
5002,17,1,2,1,20,0,0,3,1,1,1,1,1.47,1.0
5003,16,0,2,1,15,25,0,3,1,1,1,1,3.88,3.0
5004,17,0,2,3,10,15,0,2,1,1,1,1,2.14,2.0
5005,15,1,0,3,25,10,0,3,1,1,1,1,2.65,2.0
5006,18,1,2,1,20,0,0,1,1,1,1,1,3.18,1.0
5007,17,1,0,1,10,0,0,3,1,1,1,1,1.41,4.0
5008,18,0,0,3,20,30,0,1,1,1,1,1,2.91,1.0
5009,15,0,2,2,20,10,0,3,1,1,1,1,2.51,2.0
5010,16,0,2,1,10,0,0,1,1,1,1,1,1.02,3.0
5011,16,0,0,2,20,20,0,1,1,1,1,1,1.81,2.0
5012,18,0,1,2,25,20,0,3,1,1,1,1,1.08,2.0
5013,18,0,0,1,25,15,0,3,1,1,1,1,2.3,1.0
5014,18,1,2,1,15,5,0,3,1,1,1,1,1.01,2.0
5015,16,0,1,3,15,30,0,2,1,1,1,1,3.2,2.0
5016,15,0,0,1,10,0,0,1,1,1,1,1,2.16,4.0
5017,16,0,1,3,15,10,0,1,1,1,1,1,3.72,3.0
5018,17,0,1,2,30,5,0,1,1,1,1,1,2.34,2.0
5019,17,0,2,1,15,25,0,3,1,1,1,1,1.41,3.0
5020,18,0,1,2,25,10,0,1,1,1,1,1,1.55,1.0
5021,17,0,0,3,20,0,0,3,1,1,1,1,1.48,1.0
5022,18,0,0,2,30,25,0,2,1,1,1,1,3.58,1.0
5023,17,1,0,3,25,30,0,1,1,1,1,1,4.0,1.0
5024,15,1,0,3,15,25,0,3,1,1,1,1,3.44,2.0
5025,15,0,0,3,20,15,0,2,1,1,1,1,3.01,4.0
5026,17,1,0,2,30,10,0,3,1,1,1,1,2.71,1.0
5027,17,0,0,2,30,30,0,2,1,1,1,1,1.4,4.0
5028,16,0,1,3,30,15,0,1,1,1,1,1,3.43,1.0
5029,15,1,2,1,15,20,0,1,1,1,1,1,3.41,4.0
5030,15,0,1,2,10,15,0,3,1,1,1,1,2.23,1.0
5031,18,0,2,1,30,25,0,2,1,1,1,1,1.31,4.0
5032,17,1,2,2,25,25,0,2,1,1,1,1,2.34,2.0
5033,16,1,1,2,15,0,0,3,1,1,1,1,3.91,2.0
5034,17,0,1,3,10,15,0,2,1,1,1,1,3.63,1.0
5035,15,1,0,1,30,15,0,2,1,1,1,1,3.78,1.0
5036,17,0,1,3,30,20,0,2,1,1,1,1,2.91,1.0
5037,15,0,0,3,20,30,0,2,1,1,1,1,3.56,1.0
5038,17,0,2,2,30,20,0,3,1,1,1,1,2.32,4.0
5039,16,0,1,2,10,15,0,3,1,1,1,1,1.88,2.0
5040,16,0,2,1,30,20,0,1,1,1,1,1,1.67,4.0
5041,16,1,0,1,20,25,0,2,1,1,1,1,2.24,1.0
5042,17,1,0,3,25,5,0,2,1,1,1,1,2.76,2.0
5043,15,1,1,1,25,5,0,3,1,1,1,1,2.91,2.0
5044,15,1,0,1,25,0,0,3,1,1,1,1,2.84,1.0
5045,17,1,1,1,20,5,0,2,1,1,1,1,3.01,2.0
5046,15,0,1,2,25,15,0,3,1,1,1,1,3.58,1.0
5047,17,0,2,1,15,30,0,3,1,1,1,1,2.88,1.0
5048,17,0,0,3,20,10,0,2,1,1,1,1,3.1,2.0
5049,17,0,2,3,30,5,0,1,1,1,1,1,1.47,2.0
5050,16,0,2,1,25,20,0,2,1,1,1,1,2.49,2.0
5051,17,1,1,1,20,25,0,3,1,1,1,1,1.79,1.0
5052,16,1,2,3,10,5,0,2,1,1,1,1,1.27,4.0
5053,17,1,2,2,10,10,0,3,1,1,1,1,3.51,4.0
5054,18,1,0,1,10,20,0,2,1,1,1,1,1.46,3.0
5055,15,0,1,2,10,30,0,2,1,1,1,1,2.1,1.0
5056,15,0,1,3,10,5,0,3,1,1,1,1,3.1,2.0
5057,17,1,2,1,25,0,0,3,1,1,1,1,3.9,1.0
5058,15,0,1,3,20,10,0,1,1,1,1,1,2.78,3.0
5059,16,1,1,1,25,25,0,1,1,1,1,1,1.8,2.0
5060,15,0,2,3,10,15,0,2,1,1,1,1,1.78,1.0
